timestamps,,,,,,,,,Marker
93416.047,0.264,0.655,0.364,0.339,0.047,0.940,0.496,0.616,0
93416.052,0.116,0.348,0.245,0.709,0.112,0.444,0.210,0.367,0
93416.056,0.434,0.331,0.088,0.950,0.280,0.370,0.948,0.768,0
93416.060,0.484,0.428,0.716,0.467,0.504,0.369,0.342,0.296,0
93416.065,0.305,0.989,0.901,0.493,0.436,0.820,0.664,0.777,0
93416.069,0.000,0.937,0.957,0.377,0.355,0.264,0.492,0.967,0
93416.074,0.816,0.553,0.111,0.684,0.539,0.050,0.050,0.728,0
93416.080,0.400,0.736,0.306,0.738,0.372,0.597,0.319,0.358,0
93416.084,0.094,0.601,0.827,0.660,0.063,0.609,0.027,0.201,0
93416.088,0.561,0.969,0.329,0.957,0.446,0.973,0.885,0.248,0
93416.092,0.140,0.015,0.822,0.527,0.150,0.823,0.930,0.278,0
93416.097,0.939,0.295,0.168,0.459,0.754,0.298,0.526,0.677,0
93416.102,0.814,0.565,0.759,0.273,0.609,0.448,0.644,0.257,0
93416.106,0.856,0.338,0.508,0.302,0.385,0.095,0.907,0.902,0
93416.111,0.004,0.402,0.581,0.367,0.528,0.112,0.461,0.951,0
93416.115,0.110,0.358,0.382,0.099,0.578,0.045,0.761,0.480,0
93416.120,0.672,0.061,0.612,0.194,0.045,0.328,0.456,0.226,0
93416.125,0.625,0.751,0.475,0.465,0.646,0.211,0.061,0.440,0
93416.129,0.037,0.390,0.638,0.685,0.341,0.746,0.268,0.219,0
93416.134,0.153,0.202,0.326,0.554,0.039,0.258,0.814,0.830,0
93416.139,0.497,0.496,0.413,0.540,0.443,0.718,0.332,0.752,0
93416.144,0.200,0.497,0.382,0.302,0.417,0.649,0.220,0.342,0
93416.149,0.371,0.118,0.945,0.364,0.856,0.553,0.505,0.031,0
93416.154,0.872,0.409,0.308,0.992,0.198,0.483,0.416,0.607,0
93416.159,0.353,0.800,0.747,0.561,0.726,0.819,0.991,0.111,0
93416.163,0.558,0.184,0.739,0.760,0.935,0.352,0.879,0.320,0
93416.167,0.495,0.575,0.523,0.653,0.121,0.425,0.966,0.786,0
93416.172,0.747,0.500,0.884,0.667,0.362,0.310,0.498,0.746,0
93416.176,0.481,0.796,0.835,0.824,0.203,0.395,0.385,0.730,0
93416.181,0.680,0.514,0.174,0.624,0.767,0.041,0.414,0.968,0
93416.186,0.023,0.070,0.452,0.351,0.153,0.437,0.318,0.618,0
93416.191,0.428,0.493,0.938,0.167,0.919,0.512,0.497,0.105,0
93416.195,0.086,0.682,0.307,0.649,0.457,0.405,0.572,0.240,0
93416.200,0.247,0.872,0.044,0.773,0.579,0.890,0.212,0.778,0
93416.205,0.352,0.590,0.951,0.360,0.821,0.544,0.391,0.663,0
93416.210,0.386,0.600,0.113,0.625,0.211,0.124,0.662,0.406,0
93416.214,0.018,0.234,0.631,0.546,0.436,0.772,0.657,0.759,0
93416.219,0.096,0.135,0.364,0.621,0.891,0.335,0.558,0.646,0
93416.224,0.669,0.622,0.414,0.322,0.984,0.274,0.485,0.781,0
93416.229,0.560,0.979,0.929,0.926,0.898,0.391,0.977,0.231,0
93416.233,0.788,0.739,0.202,0.569,0.919,0.841,0.467,0.220,0
93416.238,0.883,0.774,0.065,0.766,0.244,0.412,0.689,0.516,0
93416.242,0.592,0.336,0.085,0.687,0.306,0.249,0.990,0.740,0
93416.246,0.894,0.294,0.721,0.170,0.872,0.861,0.187,0.586,0
93416.251,0.456,0.690,0.009,0.384,0.943,0.297,0.924,0.840,0
93416.255,0.891,0.691,0.589,0.658,0.694,0.508,0.504,0.934,0
93416.260,0.349,0.252,0.504,0.004,0.071,0.586,0.241,0.053,0
93416.265,0.410,0.371,0.963,0.318,0.777,0.714,0.816,0.951,0
93416.269,0.552,0.215,0.749,0.489,0.869,0.690,0.985,0.330,0
93416.274,0.894,0.744,0.729,0.646,0.396,0.017,0.998,0.359,0
93416.279,0.378,0.795,0.888,0.548,0.293,0.579,0.849,0.597,0
93416.284,0.089,0.555,0.559,0.107,0.504,0.358,0.538,0.334,0
93416.289,0.179,0.750,0.308,0.407,0.589,0.644,0.212,0.807,0
93416.294,0.025,0.266,0.631,0.106,0.423,0.827,0.767,0.269,0
93416.299,0.660,0.921,0.490,0.392,0.679,0.018,0.251,0.330,0
93416.303,0.908,0.663,0.165,0.986,0.513,0.584,0.208,0.325,0
93416.308,0.702,0.952,0.763,0.684,0.419,0.037,0.776,0.272,0
93416.313,0.539,0.708,0.355,0.276,0.099,0.937,0.607,0.029,0
93416.317,0.000,0.807,0.437,0.115,0.099,0.679,0.577,0.831,0
93416.322,0.920,0.616,0.939,0.526,0.031,0.404,0.876,0.368,0
93416.327,0.085,0.832,0.170,0.328,0.857,0.419,0.756,0.847,0
93416.331,0.091,0.297,0.337,0.113,0.917,0.522,0.991,0.814,0
93416.336,0.645,0.872,0.467,0.639,0.002,0.212,0.894,0.608,0
93416.341,0.868,0.830,0.092,0.385,0.808,0.084,0.258,0.768,0
93416.345,0.629,0.144,0.730,0.037,0.644,0.264,0.109,0.870,0
93416.349,0.893,0.855,0.606,0.797,0.496,0.665,0.503,0.279,0
93416.354,0.816,0.062,0.055,0.212,0.596,0.821,0.061,0.939,0
93416.358,0.163,0.619,0.441,0.516,0.382,0.811,0.956,0.252,0
93416.363,0.661,0.450,0.950,0.830,0.217,0.926,0.988,0.685,0
93416.368,0.842,0.193,0.657,0.170,0.316,0.157,0.692,0.674,0
93416.373,0.283,0.022,0.500,0.836,0.873,0.746,0.640,0.834,0
93416.377,0.890,0.201,0.215,0.542,0.556,0.379,0.567,0.681,0
93416.382,0.851,0.826,0.581,0.821,0.457,0.944,0.627,0.741,0
93416.386,0.797,0.134,0.993,0.254,0.800,0.064,0.624,0.915,0
93416.391,0.837,0.779,0.371,0.430,0.413,0.121,0.179,0.850,0
93416.396,0.897,0.976,0.436,0.596,0.801,0.191,0.125,0.674,0
93416.401,0.698,0.276,0.589,0.729,0.617,0.518,0.442,0.223,0
93416.406,0.001,0.655,0.877,0.028,0.732,0.666,0.143,0.077,0
93416.411,0.866,0.492,0.223,0.450,0.801,0.830,0.508,0.895,0
93416.416,0.171,0.796,0.836,0.613,0.601,0.976,0.271,0.020,0
93416.420,0.675,0.098,0.444,0.845,0.918,0.976,0.777,0.298,0
93416.425,0.846,0.996,0.100,0.363,0.864,0.520,0.877,0.352,0
93416.429,0.688,0.087,0.364,0.943,0.487,0.911,0.762,0.274,0
93416.434,0.515,0.461,0.801,0.451,0.175,0.591,0.176,0.497,0
93416.439,0.863,0.214,0.178,0.157,0.077,0.581,0.637,0.926,0
93416.444,0.100,0.807,0.549,0.507,0.956,0.821,0.056,0.815,0
93416.449,0.573,0.197,0.650,0.008,0.697,0.413,0.633,0.080,0
93416.454,0.845,0.054,0.474,0.886,0.179,0.033,0.850,0.282,0
93416.459,0.475,0.223,0.779,0.734,0.196,0.456,0.864,0.264,0
93416.464,0.208,0.712,0.863,0.271,0.436,0.087,0.480,0.510,0
93416.468,0.539,0.914,0.285,0.525,0.707,0.053,0.979,0.838,0
93416.473,0.160,0.791,0.881,0.678,0.407,0.944,0.946,0.396,0
93416.478,0.601,0.878,0.828,0.716,0.013,0.562,0.821,0.004,0
93416.483,0.461,1.000,0.714,0.247,0.952,0.659,0.096,0.362,0
93416.487,0.917,0.466,0.280,0.122,0.592,0.856,0.628,0.838,0
93416.492,0.776,0.704,0.339,0.272,0.194,0.086,0.592,0.593,0
93416.497,0.605,0.524,0.450,0.602,0.704,0.979,0.467,0.907,0
93416.501,0.936,0.265,0.376,0.438,0.035,0.155,0.440,0.777,0
93416.506,0.813,0.739,0.664,0.466,0.051,0.717,0.334,0.263,0
93416.511,0.183,0.039,0.571,0.707,0.863,0.589,0.520,0.379,0
93416.516,0.633,0.467,0.789,0.915,0.175,0.360,0.926,0.725,0
93416.521,0.734,0.038,0.172,0.534,0.872,0.919,0.870,0.562,0
93416.526,0.773,0.157,0.059,0.891,0.683,0.494,0.014,0.128,0
93416.530,0.549,0.222,0.790,0.064,0.135,0.060,0.387,0.290,0
93416.534,0.197,0.426,0.137,0.491,0.159,0.084,0.057,0.294,0
93416.539,0.455,0.535,0.429,0.945,0.643,0.527,0.928,0.467,0
93416.544,0.451,0.279,0.925,0.461,0.591,0.221,0.471,0.254,0
93416.549,0.733,0.766,0.791,0.952,0.389,0.350,0.605,0.515,0
93416.553,0.552,0.654,0.333,0.998,0.202,0.998,0.259,0.578,0
93416.557,0.835,0.516,0.047,0.302,0.815,0.961,0.402,0.621,0
93416.562,0.476,0.257,0.784,0.980,0.590,0.206,0.018,0.539,0
93416.568,0.098,0.157,0.705,0.123,0.435,0.810,0.331,0.745,0
93416.573,0.923,0.566,0.451,0.133,0.928,0.122,0.073,0.443,0
93416.577,0.359,0.666,0.938,0.303,0.668,0.692,0.421,0.974,0
93416.582,0.879,0.719,0.205,0.031,0.181,0.328,0.226,0.672,0
93416.586,0.567,0.041,0.673,0.703,0.005,0.145,0.274,0.992,0
93416.590,0.799,0.961,0.129,0.315,0.358,0.660,0.367,0.559,0
93416.595,0.474,0.432,0.097,0.142,0.760,0.323,0.329,0.673,0
93416.600,0.188,0.224,0.066,0.911,0.179,0.421,0.765,0.780,0
93416.605,0.949,0.091,0.742,0.339,0.570,0.566,0.898,0.482,0
93416.609,0.405,0.664,0.594,0.860,0.376,0.418,0.172,0.801,0
93416.614,0.419,0.052,0.217,0.560,0.415,0.814,0.222,0.197,0
93416.619,0.028,0.772,0.720,0.302,0.834,0.840,0.394,0.828,0
93416.624,0.383,0.380,0.311,0.811,0.450,0.045,0.548,0.271,0
93416.629,0.379,0.785,0.837,0.601,0.972,0.225,0.804,0.316,0
93416.635,0.668,0.613,0.979,0.632,0.596,0.332,0.274,0.236,0
93416.639,0.169,0.810,0.080,0.244,0.860,0.479,0.472,0.297,0
93416.644,0.006,0.375,0.802,0.785,0.202,0.721,0.922,0.014,0
93416.649,0.835,0.280,0.759,0.973,0.770,0.686,0.977,0.486,0
93416.653,0.913,0.955,0.248,0.509,0.659,0.970,0.406,0.649,0
93416.657,0.907,0.265,0.970,0.172,0.427,0.797,0.914,0.846,0
93416.662,0.689,0.436,0.941,0.555,0.879,0.046,0.153,0.237,0
93416.666,0.215,0.798,0.616,0.571,0.051,0.485,0.512,0.031,0
93416.671,0.296,0.397,0.360,0.134,0.547,0.601,0.459,0.897,0
93416.676,0.505,0.580,0.115,0.502,0.517,0.597,0.014,0.866,0
93416.681,0.648,0.082,0.162,0.589,0.450,0.759,0.911,0.142,0
93416.685,0.022,0.219,0.759,0.316,0.977,0.628,0.484,0.816,0
93416.690,0.821,0.751,0.880,0.911,0.591,0.926,0.488,0.704,0
93416.695,0.359,0.977,0.832,0.121,0.191,0.320,0.179,0.301,0
93416.700,0.710,0.398,0.646,0.757,0.551,0.072,0.534,0.001,0
93416.705,0.347,0.153,0.922,0.675,0.898,0.246,0.795,0.183,0
93416.710,0.603,0.151,0.824,0.843,0.201,0.570,0.898,0.809,0
93416.715,0.165,0.884,0.271,0.188,0.510,0.415,0.812,0.011,0
93416.719,0.071,0.942,0.567,0.116,0.692,0.785,0.840,0.111,0
93416.724,0.490,0.305,0.436,0.814,0.759,0.677,0.004,0.244,0
93416.729,0.511,0.160,0.236,0.174,0.922,0.073,0.896,0.639,0
93416.734,0.628,0.718,0.050,0.732,0.756,0.762,0.210,0.505,0
93416.739,0.044,0.802,0.175,0.008,0.571,0.193,0.088,0.847,0
